LON,LAT,TIME,
119.32, 23.40, 127.4296,
119.32, 23.41, 133.0444,
119.42, 23.20,  85.7065,
119.42, 23.21,  86.5009,
119.43, 23.19,  85.7678,
119.43, 23.20,  86.5645,
119.43, 23.21,  87.6323,
119.43, 23.22,  89.0797,
119.44, 23.21,  89.1417,
119.44, 23.22,  90.9612,
119.47, 23.56, 134.0711,
119.48, 23.57, 134.0370,
119.49, 23.36, 139.6121,
119.49, 23.57, 135.2780,
119.50, 23.36, 141.1139,
119.50, 23.37, 140.4994,
119.50, 23.38, 140.0982,
119.50, 23.39, 139.9362,
119.50, 23.57, 136.7087,
119.50, 23.62, 131.4413,
119.51, 23.27, 125.4205,
119.51, 23.37, 140.3936,
119.51, 23.49, 142.2264,
119.51, 23.57, 138.5023,
119.51, 23.58, 135.8276,
119.51, 23.59, 134.5434,
119.51, 23.60, 133.5679,
119.51, 23.61, 132.6954,
119.51, 23.62, 131.9851,
119.51, 23.63, 131.3592,
119.51, 23.64, 130.7953,
119.52, 23.25, 123.4992,
119.52, 23.26, 124.7243,
119.52, 23.36, 139.7093,
119.52, 23.49, 143.8993,
119.52, 23.51, 144.8480,
119.52, 23.60, 134.5707,
119.52, 23.61, 133.6052,
119.52, 23.62, 132.6988,
119.52, 23.63, 131.9705,
119.52, 23.64, 131.3615,
119.52, 23.65, 130.7938,
119.53, 23.37, 139.7184,
119.53, 23.49, 145.2423,
119.53, 23.63, 132.8290,
119.53, 23.64, 132.0278,
119.54, 23.35, 138.5064,
119.54, 23.37, 139.4746,
119.54, 23.64, 133.0205,
119.55, 23.54, 157.4288,
119.55, 23.55, 163.1237,
119.56, 23.53, 150.1512,
119.56, 23.57, 144.3093,
119.56, 23.66, 133.6980,
119.56, 23.67, 132.6750,
119.57, 23.53, 148.3460,
119.57, 23.55, 150.9854,
119.57, 23.57, 150.1907,
119.57, 23.58, 147.1464,
119.57, 23.62, 140.3624,
119.57, 23.67, 134.2503,
119.58, 23.51, 145.1277,
119.58, 23.52, 146.1269,
119.58, 23.53, 147.0227,
119.58, 23.55, 148.3921,
119.58, 23.56, 148.4789,
119.58, 23.57, 148.0410,
119.58, 23.58, 146.4720,
119.58, 23.59, 145.1067,
119.58, 23.67, 135.4362,
119.59, 23.52, 144.7634,
119.59, 23.53, 145.3312,
119.59, 23.56, 146.0651,
119.59, 23.57, 145.8139,
119.59, 23.65, 137.4271,
119.59, 23.66, 136.4540,
119.59, 23.67, 135.6150,
119.60, 23.52, 143.3419,
119.60, 23.53, 143.7020,
119.60, 23.54, 143.9477,
119.60, 23.55, 144.0471,
119.60, 23.56, 144.0024,
119.60, 23.57, 143.7774,
119.60, 23.58, 143.3156,
119.60, 23.62, 139.9333,
119.60, 23.63, 139.0433,
119.60, 23.65, 137.0780,
119.60, 23.66, 136.1896,
119.60, 23.67, 135.3690,
119.60, 23.74, 133.5510,
119.60, 23.76, 130.6369,
119.60, 23.77, 128.8932,
119.61, 23.25, 135.5287,
119.61, 23.52, 141.8965,
119.61, 23.53, 142.0811,
119.61, 23.54, 142.2068,
119.61, 23.55, 142.2346,
